Restaurants_Name,Rating,Num_of_ratings,Cuisines,Cost,address,links
WhiteEggX,4.1,50+ ratings,Snacks,₹ 200 for two person,"T.P. NO.34, F.P. NO.24 PAIKEE PLOT NO.56 A,  G.F., BHAGYODAY IND. SOC., MAGOB, Surat  Municipal Corporation, Gujarat-395006",https://www.swiggy.com/restaurants/whiteeggx-athwa-surat-556151
House Of Thali,3.6,100+ ratings,"Opens next at 6:16 pm, todayThalis, North Indian",₹ 300 for two person,"New Taj Mahal Restaurant, OPP. SURAT RAILWAY STATION , SURAT",https://www.swiggy.com/restaurants/house-of-thali-athwa-station-varachha-surat-450511
Mudita Ni Mithaio,4.5,10K+ ratings,Desserts,₹ 230 for two person,"Shop Mahek, Opposite Hira Manek Street, Nanpura Main Road, Nanpura, Surat",https://www.swiggy.com/restaurants/mudita-ni-mithaio-nanpura-surat-75316
Sai Thali,3.4,100+ ratings,"Opens next at 6:16 pm, todayNorth Indian, Thalis",₹ 300 for two person,"New Taj Mahal Restaurant, OPP. SURAT RAILWAY STATION , SURAT",https://www.swiggy.com/restaurants/sai-thali-athwa-station-varachha-surat-457094
Pizza World,3.5,1K+ ratings,"Pastas, Pizzas",₹ 250 for two person,"1st Floor, Krushi Bhavan, Near PKS Petrol Pump, Kumbharia Road, Paravat Patia, Surat, Udhna Gam, Surat",https://www.swiggy.com/restaurants/pizza-world-puna-kumbharia-road-yamuna-nagar-surat-70757
The Belgian Waffle and Creamery,3.3,50+ ratings,Desserts,₹ 250 for two person,"80, Swamy Dayananad Sagar Marg, Chowk Bazar, Gopipura, Surat, Gujarat 395003, India",https://www.swiggy.com/restaurants/the-belgian-waffle-and-creamery-athwa-surat-516899
Satkar Restaurant,3.9,50+ ratings,"Opens next at 6:45 pm, todayNorth Indian, Chinese",₹ 300 for two person,"GF + FIRST FLOOR, UDHNA KHADI UDHNA NAVSARI MAIN RROAD, NEAR UDHNA BUS STOP , SURAT 394210",https://www.swiggy.com/restaurants/satkar-restaurant-athwa-surat-496595
Allure,4.5,20+ ratings,"North Indian, Fast Food",₹ 750 for two person,"Railway Station Rd, opp. Sufi Baug, Lal Darwaja, Varachha, Surat, Gujarat 395003, India",https://www.swiggy.com/restaurants/allure-new-textile-market-varachha-surat-472397
Mummy's Cafe,2.3,20+ ratings,"Fast Food, Beverages",₹ 300 for two person,Near mahavir mobile circle Parvat patiya surat 395010,https://www.swiggy.com/restaurants/mummys-cafe-mahavir-mobile-circle-parvat-patiya-surat-583837
Monginis,4.0,20+ ratings,Desserts,₹ 400 for two person,"PLOT NO.7A, ROAD NO.1, UDHYOGNAGAR, UDHNA, SURAT 394210",https://www.swiggy.com/restaurants/monginis-udhyognagar-athwa-surat-283144
Favourite Pizza And Grill,4.0,1K+ ratings,"Burgers, Pizzas",₹ 200 for two person,"SHOP NO 3 SILVER CORNER OPP SEHZAD FORIEGN PARCEL SHAHPORE CHAR RASTA SURAT 395003, District - Surat Municipal Corporation, STATE - Gujarat",https://www.swiggy.com/restaurants/favourite-pizza-and-grill-shahpore-surat-96386
Akhil Hind Mahila Parishad Bruhad Surat Shakha,4.6,100+ ratings,"Indian, Gujarati",₹ 200 for two person,"SHALIBHADRA COMPLEX, KEDARSHA NI NAL, TIMALIYAWAD, NANPURA, District - Surat Municipal Corporation, STATE - Gujarat",https://www.swiggy.com/restaurants/akhil-hind-mahila-parishad-bruhad-surat-shakha-athwa-nanpura-surat-353411
Royal Fast Food,3.7,100+ ratings,"Chinese, North Indian",₹ 220 for two person,"Khanderavpura Main Road, Gopipura, Surat, Gujarat, India",https://www.swiggy.com/restaurants/royal-fast-food-new-textile-market-athwa-surat-191633
Bhavin Omlet Centre,3.7,1K+ ratings,"Fast Food, Snacks",₹ 200 for two person,"Shop 6/2115, Limbu sheri, Rampura Main Road,Surat",https://www.swiggy.com/restaurants/bhavin-omlet-centre-rampura-haripura-surat-148131
Bismila Royal Fan Food,3.3,20+ ratings,"Chinese, Tandoor",₹ 200 for two person,"1/1622/10 NANPURA KHANDEROO PURA SUART, Surat City, Surat Municipal Corporation (Gujarat), - 395001",https://www.swiggy.com/restaurants/bismila-royal-fan-food-nanpura-surat-540339
Jeevandhara Hotels,4.0,1K+ ratings,Punjabi,₹ 250 for two person,"Opposite Rajhans Point Old Geetanjali Cinema, Varachha Road, Soham Nagar Society, Mohan Nagar, Varachha, Surat, Gujarat 395006",https://www.swiggy.com/restaurants/jeevandhara-hotels-opp-rajhans-point-varachha-surat-71328
New Egg Zone,--,Too Few Ratings,Indian,₹ 100 for two person,"BL No 15/A A/7 South Part RD No 15 U U N V Udhna SMC, Gujarat 394210",https://www.swiggy.com/restaurants/new-egg-zone-athwa-surat-442870
Navin Food Court,--,Too Few Ratings,Snacks,₹ 150 for two person,shop no. 2 ranchod Nagar opp Madhav bag SoC dumbhal road parvat patiya 395010,https://www.swiggy.com/restaurants/navin-food-court-parvat-patiya-athwa-surat-652596
Mon Amour,--,Too Few Ratings,"Pizzas, Grill",₹ 250 for two person,"Shop No.4-5,Om Complex, Opp. D.R World, Parvat Patiya,Surat-395006",https://www.swiggy.com/restaurants/mon-amour-ambrosia-business-hub-opp-dr-world-surat-617344
Taaza Restaurant,4.0,100+ ratings,"Indian, Chinese",₹ 300 for two person,Gulambaba Compund Near Hotel Alfa,https://www.swiggy.com/restaurants/taaza-restaurant-gulambaba-compound-varachha-surat-109763
Panditjis Dilliwale Chhole Bhature & Dilli Chat,2.0,20+ ratings,"North Indian, Chaat",₹ 250 for two person,"10/2234,2235A.2236A PAIKEE SHOP NO.3, OPP. ARYA SAMAJ BHAVAN, SONI FALIYA MAIN ROAD, SURAT CITY, SURAT, GUJARAT-395001",https://www.swiggy.com/restaurants/panditjis-dilliwale-chhole-bhature-and-dilli-chat-athwa-surat-464401
Shree Sai Vada Pav,3.5,50+ ratings,"Fast Food, Italian",₹ 100 for two person,40 Mahindra park society aai Mata road opp Hastee bakery surat,https://www.swiggy.com/restaurants/shree-sai-vada-pav-athwa-i-mata-road-surat-442736
Paradise Juice Corner,3.7,50+ ratings,"Beverages, Juices",₹ 100 for two person,"KSHETRAPAL TEMPLE ROAD, NR.TAPALI BAND OFFICE, SARGRAMPURA, SURAT",https://www.swiggy.com/restaurants/paradise-juice-corner-sagrampura-surat-216950
Bapa Sitaram Dairy And Sweet,--,Too Few Ratings,"Sweets, Desserts",₹ 300 for two person,"7-C/204-B, PAIKEE GF OPP RAMPURA PETROL PUMP, MAIN ROAD, SURAT 395003",https://www.swiggy.com/restaurants/bapa-sitaram-dairy-and-sweet-rampura-rampura-petrol-pump-surat-494934
Man Mohak Ice Cream,3.7,500+ ratings,"Ice Cream, Beverages",₹ 200 for two person,"Runghnatpura Main Road, Near Rampura Petrol Pump, Opp. Swaminarayan Chawl, Rughnathpura, Surat",https://www.swiggy.com/restaurants/man-mohak-ice-cream-haripura-rughnathpura-surat-84556
Zorko-Brand Of Food Lovers,3.5,50+ ratings,"Fast Food, Snacks",₹ 150 for two person,"F-1/2/3, Shaswat Complex, opposite Madhi Ni Khamni, Shanti Nagar, Udhyog Darshan Society, Udhana Village, Udhna, Surat, Gujarat 394210, India",https://www.swiggy.com/restaurants/zorko-brand-of-food-lovers-athwa-surat-442462
Egg Cart,--,Too Few Ratings,Snacks,₹ 200 for two person,"Falsawadi sarcal ring roud opp/ golden point Ring road surat , Surat Municipal Corporation, Surat Municipal Corporation, , Gujarat, 395003",https://www.swiggy.com/restaurants/egg-cart-golden-point-ring-road-athwa-surat-668065
Mahalakshya Live Ice Cream & Thick Shakes,4.3,5K+ ratings,Ice Cream,₹ 150 for two person,"25, Shivo Campus, Opp. Hita Complex, LP Savani School, Palanpur Jakatnaka",https://www.swiggy.com/restaurants/mahalakshya-live-ice-cream-and-thick-shakes-palanpur-jakatnaka-surat-104519
New Janta Ice Cream,3.6,100+ ratings,"Ice Cream, Beverages",₹ 200 for two person,"4,patva building,opp tapi baugh society,Nr Super diamond market,Varachha road,surat",https://www.swiggy.com/restaurants/new-janta-ice-cream-patva-building-varachha-surat-87327
Bhai Bhai Omelette Center,4.3,10K+ ratings,"Chinese, South Indian",₹ 300 for two person,"5, Triveni appt, opp. LIC office, timaliyawad, Nanpura, surat 395001",https://www.swiggy.com/restaurants/bhai-bhai-omelette-center-bhatar-nanpura-surat-77535
Kathiyawadi Kitchen,3.3,20+ ratings,"Closes soonDesserts, North Indian",₹ 200 for two person,"Shop no 36 & 40, LGF, Sardar market, Dumbhal, surat 394211",https://www.swiggy.com/restaurants/kathiyawadi-kitchen-sardar-market-athwa-surat-474246
Happy Live Cake Shop,--,Too Few Ratings,Bakery,₹ 500 for two person,"SHOP NO.54 APPLE SQUAR NR.SWASTIC PLAZA,YOGI CHOWK,SUART",https://www.swiggy.com/restaurants/happy-live-cake-shop-sarthana-surat-547720
Agra Sweets And Namkeen,4.5,1K+ ratings,"Desserts, North Indian",₹ 300 for two person,"shop no 8 , Mangaldip Appartment, Bhatar Road, Surat",https://www.swiggy.com/restaurants/agra-sweets-and-namkeen-bhatar-road-athwa-surat-170067
New Ramesh Mithai,4.6,100+ ratings,Sweets,₹ 200 for two person,"U-1/2/3- Madhuram, Bhatar Char Rasta, Surat",https://www.swiggy.com/restaurants/new-ramesh-mithai-bhatar-road-athwa-surat-140417
Hotel Maruti,4.1,10K+ ratings,"Closes soonPunjabi, Chinese",₹ 200 for two person,11 12 Abhinandan complex punakumbhariya road magob surat,https://www.swiggy.com/restaurants/hotel-maruti-punakumbharia-rd-parvat-patiya-surat-87330
Mon Amour,--,Too Few Ratings,"Pizzas, Grill",₹ 250 for two person,"Shop No.4-5,Om Complex, Opp. D.R World, Parvat Patiya,Surat-395006",https://www.swiggy.com/restaurants/mon-amour-ambrosia-business-hub-opp-dr-world-surat-617344
Sai Nath Live Aalu Puri,3.9,50+ ratings,Snacks,₹ 200 for two person,SHOP NO 1 SEJAL COMPLEX MAHAVIR NAGAR RUPALI CINEMA RAM NAGAR SURAT,https://www.swiggy.com/restaurants/sai-nath-live-aalu-puri-rupali-cinema-surat-503928
Shri Pahelvan Chhole Bhature,3.5,100+ ratings,"Punjabi, Snacks",₹ 200 for two person,"shop no.7, Sai Darshan market near multi level parking ring road. Area- ring road City- surat",https://www.swiggy.com/restaurants/shri-pahelvan-chhole-bhature-athwa-surat-389375
Mukesh Pan And Cold Point,--,Too Few Ratings,"Paan, Beverages",₹ 150 for two person,"SHOP NO 13, SANKESHWAR COMPLEX, PARVAT PATIYA, SURAT CITY 395010",https://www.swiggy.com/restaurants/mukesh-pan-and-cold-point-parvat-patia-surat-492219
Amar Punjabi,--,Too Few Ratings,"North Indian, Chinese",₹ 300 for two person,"39-40 GR FLOOR MAHENDRA PARK SOCIETY,PUNAKUMBHARIYA ROAD,MAGOB,SURAT",https://www.swiggy.com/restaurants/amar-punjabi-mahendra-park-society-athwa-surat-662679
Homely Parlour,--,Too Few Ratings,Ice Cream,₹ 200 for two person,"Shop No:- 3 Keshav Kruti Appartment, Godha Street, Timanpura, Surat, Gujarat 395001, India",https://www.swiggy.com/restaurants/homely-parlour-athwa-surat-525921
Good Days Cafe,--,Too Few Ratings,"Beverages, Snacks",₹ 200 for two person,"Shop Number - 3, Barkari Bhavan, Near Unity Hospital, Magob, Varachhali , Surat Municipal Corporation, Surat Municipal Corporation, Gujarat - 395010",https://www.swiggy.com/restaurants/good-days-cafe-athwa-surat-480931
VADILAL ICE CREAM,--,Too Few Ratings,"Ice Cream, Desserts",₹ 250 for two person,"11/1024,CHOWK BAZAR,CHAR RASTA,SURAT ,Surat City,Surat Municipal Corporation,Gujarat-395001",https://www.swiggy.com/restaurants/vadilal-ice-cream-chowk-bazar-athwa-surat-666025
Pandey Pan,--,Too Few Ratings,Paan,₹ 100 for two person,"Shop No.13,Bhavik Complex,Opp.Turning Point,Ghoddod Road,Athwa,Surat,Gujarat-395001",https://www.swiggy.com/restaurants/pandey-pan-athwa-surat-543481
Jagdamba Ice Cream Parlour And Fast Food,--,Too Few Ratings,"Ice Cream, Desserts",₹ 200 for two person,"G-6, Smarth Park Complex,Near Archana School,Punagam Bombay Market Road,Surat,Surat Muncipal Cooperation,Gujarat 395010",https://www.swiggy.com/restaurants/jagdamba-ice-cream-parlour-and-fast-food-athwa-surat-541125
Manbhavan Sweets,--,Too Few Ratings,"Sweets, Chinese",₹ 300 for two person,"R S No 135 paiki ground floor, first floor, udhna main road, near dena bank, udhna, SMC,Surat, Gujarat- 394210",https://www.swiggy.com/restaurants/manbhavan-sweets-udhna-near-gurudwara-udhan-mian-road-surat-581310
Agra Sweets And Namkeen,4.5,1K+ ratings,"Desserts, North Indian",₹ 300 for two person,"shop no 8 , Mangaldip Appartment, Bhatar Road, Surat",https://www.swiggy.com/restaurants/agra-sweets-and-namkeen-bhatar-road-athwa-surat-170067
Bhai Bhai Omelette Center,4.3,10K+ ratings,"Chinese, South Indian",₹ 300 for two person,"5, Triveni appt, opp. LIC office, timaliyawad, Nanpura, surat 395001",https://www.swiggy.com/restaurants/bhai-bhai-omelette-center-bhatar-nanpura-surat-77535
Shree Bhakti Dhokla & Spices,4.2,100+ ratings,"Chinese, North Indian",₹ 200 for two person,"SHOP NO 6,BASEMENT,MADHULIKA APARTMENT,NEAR ELBEE CINEMA,BHATAR ROAD,SURAT GUJRAT - 395007",https://www.swiggy.com/restaurants/shree-bhakti-dhokla-and-spices-athwa-bhatar-road-surat-346104
Jay Ambe Ma Chole Bhature,3.9,50+ ratings,"Fast Food, Snacks",₹ 200 for two person,"B-1, Mahadev Nagar, Gitanjali Petrol Pump, Varachha Road, Surat, Gujarat 395006",https://www.swiggy.com/restaurants/jay-ambe-ma-chole-bhature-nr-geetanjali-petrol-pump-kodiyar-nagar-surat-186282
NIC Ice Creams,4.6,1K+ ratings,"Ice Cream, Desserts",₹ 120 for two person,"Shop No.L-18A, Athwa Arcade, B/s. Jain Temple, Opp.Yatim Khana, Nr. Athwa Gate Cirlce, Surat, Gujrat-395001",https://www.swiggy.com/restaurants/nic-ice-creams-athwa-gate-cirlce-nanpura-surat-316581
Jj Aloopuri And Khawasa,4.3,100+ ratings,Indian,₹ 100 for two person,"Nr. Jivan bharti school opp mahavir hospital , timalyawad nanpura surat	",https://www.swiggy.com/restaurants/jj-aloopuri-and-khawasa-athwa-nanpura-surat-261714
Swaminarayan Restaurant,--,Too Few Ratings,"Indian, Thalis",₹ 300 for two person,SHOP NO-2 GURUNAGAR UDHNA NAVSARI MAIN ROAD SURAT.394210,https://www.swiggy.com/restaurants/swaminarayan-restaurant-gurunagar-udhna-athwa-surat-560722
Zorko-Brand Of Food Lovers,3.5,50+ ratings,"Fast Food, Snacks",₹ 150 for two person,"F-1/2/3, Shaswat Complex, opposite Madhi Ni Khamni, Shanti Nagar, Udhyog Darshan Society, Udhana Village, Udhna, Surat, Gujarat 394210, India",https://www.swiggy.com/restaurants/zorko-brand-of-food-lovers-athwa-surat-442462
New Mahajan Sev Usal,4.2,100+ ratings,"Snacks, Gujarati",₹ 200 for two person,"SY NO 15/361/B/2/1, ROOM NO-5, OPP SADHNA SOCIETY, MOTIBAG, VARACHHA ROAD, SURAT. ",https://www.swiggy.com/restaurants/new-mahajan-sev-usal-mini-bazar-surat-386450
Shri Maan Sweets,--,Too Few Ratings,Sweets,₹ 100 for two person,"A 36, Karuna Sagar Soc.,Nr Kabutar Circle, Parvat Patiya , Surat, 395010",https://www.swiggy.com/restaurants/shri-maan-sweets-udhna-parvat-patiya-surat-214045
Jalaram Locho And Khaman,3.7,500+ ratings,Gujarati,₹ 110 for two person,"PLOT. NO. C, SHOP NO 1, SILVER PLAZA BUILDING KATARGAM",https://www.swiggy.com/restaurants/jalaram-locho-and-khaman-silver-plaza-katargam-surat-160682
Somnath Restaurant,4.0,1K+ ratings,North Indian,₹ 150 for two person,"B-7, SHYAMAL BUILDING, OPP.KOHINOOR SOCIETY, SAVANI ROAD, MINIBAZAR, SURAT",https://www.swiggy.com/restaurants/somnath-restaurant-mini-bazar-kodiyar-nagar-surat-118794
Umrao Bakery,--,Too Few Ratings,"Desserts, Snacks",₹ 300 for two person,"1/2031-32, NANPURA, MAIN ROAD, SURAT, GUJARAT - 395001",https://www.swiggy.com/restaurants/umrao-bakery-athwa-nanpura-surat-584330
The Sky 369 Fast Food,2.6,20+ ratings,"Opens next at 5:34 pm, todayFast Food",₹ 200 for two person,"HNO1/970, B TYPE FLAT NO 4TH FLOOR, SHEETAL APPARTMENT, PALIYA STREET, NANPURA, SURAT",https://www.swiggy.com/restaurants/the-sky-369-fast-food-athwa-surat-387307
Home Breads,4.7,100+ ratings,Desserts,₹ 300 for two person,"L6/7 Lower Ground, Smruti Complex, Near Turning Point, Ghod Dod Road",https://www.swiggy.com/restaurants/home-breads-ghod-dod-road-athwa-surat-70106
Waffle House,3.0,100+ ratings,"Desserts, Burgers",₹ 300 for two person,"306, Padma Nagar Estate, Patel Colony, Behind Dena Bank, Udhna Gam, Surat, Gujarat - 394210",https://www.swiggy.com/restaurants/waffle-house-udhna-athwa-surat-440939
Siddhi Icecream & Thick Shake,4.5,100+ ratings,"Ice Cream, Juices",₹ 200 for two person,"siddhi icecream, Kadampally Society, Timaliawad, Nanpura, Surat, Gujarat, India",https://www.swiggy.com/restaurants/siddhi-icecream-and-thick-shake-athwa-nanpura-surat-311443
Dotivala Bakers,4.7,100+ ratings,"Burgers, Pizzas",₹ 250 for two person,"1/2544, Makkai Bridge, Nanpura Surat.",https://www.swiggy.com/restaurants/dotivala-bakers-athwa-surat-411584
Dos and Donut,--,Too Few Ratings,Desserts,₹ 200 for two person,"FLAT NO 306, PADMANAGAR ESTATE PATEL COLONY, BEHIND DENA BANK UDHNA, SURAT, Surat, Gujarat",https://www.swiggy.com/restaurants/dos-and-donut-padmanagar-estate-athwa-surat-642048
Urban Eggs,4.3,1K+ ratings,"Chinese, Ice Cream",₹ 300 for two person,"SHOP NO 3, B/S CHOCOLATE HOUSE OPP JADE BLUE RANGILA PARK CHAR RASTA GHODOD ROAD SURAT",https://www.swiggy.com/restaurants/urban-eggs-ghod-dod-road-athwa-surat-563098
Pizza Castle,2.0,20+ ratings,Pizzas,₹ 200 for two person,"18, Main Rd, Hari Ichchha Industrial Society, Udhna Udhyog Nagar, Patel Nagar, Surat, Gujarat 394210, India",https://www.swiggy.com/restaurants/pizza-castle-udhna-udhyog-nagar-athwa-surat-598241
Bakers room cake shop,3.3,50+ ratings,Bakery,₹ 100 for two person,"Shop.noUG74West  fildshopingCentre.  Oppsurelawadi,ghod  dodRoad,gujrat  395001",https://www.swiggy.com/restaurants/bakers-room-cake-shop-surelawadi-ghod-dod-road-athwa-surat-528199
Saawariya Farali Khichdi Icecream And Juice,4.0,500+ ratings,Ice Cream,₹ 150 for two person,"SHOP NO 101, SHIVDARSHAN APPARTMENT, BHATAR SURAT",https://www.swiggy.com/restaurants/saawariya-farali-khichdi-icecream-and-juice-bhatar-athwa-surat-178888
Grameen Kulfi,4.6,500+ ratings,"Ice Cream, Desserts",₹ 120 for two person,"Shop No.L-18A, Athwa Arcade, B/s. Jain Temple, Opp.Yatim Khana, Nr. Athwa Gate Cirlce, Surat, Gujrat-395001",https://www.swiggy.com/restaurants/grameen-kulfi-athwa-gate-cirlce-nanpura-surat-359804
Jay Jalaram Mayo Mania,4.3,100+ ratings,"Burgers, Pizzas",₹ 100 for two person,"6, Swami Vivekanand Marg,opp Shivaji Park, Parixit Society, Miranagar Society, Athwa, Surat, Gujarat 395001",https://www.swiggy.com/restaurants/jay-jalaram-mayo-mania-shivaji-park-athwa-surat-379300
Quickie Bites,4.2,50+ ratings,Fast Food,₹ 150 for two person,"A-108ADARSH PACHHATVARG SOCIETY,ATHWA, Surat City, Surat, , Gujarat, 395001",https://www.swiggy.com/restaurants/quickie-bites-athwa-surat-578512
Shree Ramkrupa Farsan Mart,3.9,50+ ratings,North Indian,₹ 80 for two person,"4- sumangal shopping centre, near varachha police station, varachha main road, Surat",https://www.swiggy.com/restaurants/shree-ramkrupa-farsan-mart-mini-bazar-varachha-surat-181759
Shree Ramkrupa Farsan Mart,3.9,50+ ratings,North Indian,₹ 80 for two person,"4- sumangal shopping centre, near varachha police station, varachha main road, Surat",https://www.swiggy.com/restaurants/shree-ramkrupa-farsan-mart-mini-bazar-varachha-surat-181759
CakeZone - Pure Veg,4.3,100+ ratings,"Bakery, Desserts",₹ 200 for two person,"A/5, 1st, FLOOR JIVKOR NAGAR, ABHATAR ROAD NO. -149, SURAT ,Surat, Surat, Gujarat, 395007",https://www.swiggy.com/restaurants/cakezone-pure-veg-jivkor-nagar-athwa-surat-621730
Real Dabeli And Fast Food,3.5,100+ ratings,"Fast Food, Snacks",₹ 200 for two person,"Vikram Nagar Society, Bombay Market-Punagam Road, Vikram Nagar Society-1, Vidhey Nagar, Varachha, Surat, Gujarat, India",https://www.swiggy.com/restaurants/real-dabeli-and-fast-food-punagam-varachha-surat-188259
Eatery Fast Food,4.4,50+ ratings,"Pizzas, Beverages",₹ 200 for two person,"U/17 , jolly plaza, opp. police station, Athwagate , surat",https://www.swiggy.com/restaurants/eatery-fast-food-athwagate-nanpura-surat-114394
Hotel Hafiz,4.0,100+ ratings,"Closes soonNorth Indian, Biryani",₹ 250 for two person,"1,2,37,38,39, lower ground,fazal shoping center,adajan patiya ,surat,395009",https://www.swiggy.com/restaurants/hotel-hafiz-adajan-adajan-patiya-surat-404607
La Casa Gelato,3.1,100+ ratings,"Desserts, Burgers",₹ 200 for two person,"306, Padma Nagar Estate, Patel Colony, Behind Dena Bank, Udhna Gam, Surat, Gujarat - 394210",https://www.swiggy.com/restaurants/la-casa-gelato-udhna-athwa-surat-441110
Fast Food Junction,--,Too Few Ratings,Indian,₹ 299 for two person,"18, Main Rd, Hari Ichchha Industrial Society, Udhna Udhyog Nagar, Patel Nagar, Surat, Gujarat 394210, India",https://www.swiggy.com/restaurants/fast-food-junction-patel-nagar-athwa-surat-627853
51 Rainbow Ice Cream,4.4,1K+ ratings,"Desserts, Burgers",₹ 200 for two person,"Shop 1, Gate 1, Jawaharlal Nehru Garden, Chowparty, Athwa, Surat",https://www.swiggy.com/restaurants/51-rainbow-ice-cream-athwa-surat-88668
New Janta Ice Cream,3.6,100+ ratings,"Ice Cream, Beverages",₹ 200 for two person,"4,patva building,opp tapi baugh society,Nr Super diamond market,Varachha road,surat",https://www.swiggy.com/restaurants/new-janta-ice-cream-patva-building-varachha-surat-87327
Mourya Maggi Center,4.5,100+ ratings,"Snacks, Indian",₹ 200 for two person,"K.P. COMMERCE COLLAGE NI GALI, OPP. SEVEN DAY SCHOOL, ATHWALINESH-SURAT,395001",https://www.swiggy.com/restaurants/mourya-maggi-center-athwa-surat-504794
Raju Maggi,4.3,50+ ratings,Chinese,₹ 150 for two person,"Near KP commercial college, R.K desai road, athwalines 395001",https://www.swiggy.com/restaurants/raju-maggi-kp-commercial-college-athwa-surat-488152
Dessert Bar,--,Too Few Ratings,Desserts,₹ 200 for two person,"FLAT NO 306, PADMANAGAR ESTATE PATEL COLONY, BEHIND DENA BANK UDHNA, SURAT, Surat, Gujara",https://www.swiggy.com/restaurants/dessert-bar-flat-no-306-athwa-surat-641827
KHODIYAR PAN and COLDDRINKS,--,Too Few Ratings,Paan,₹ 40 for two person,"Ved Rd, Keshav Park Society, Raman Nagar, Katargam, Surat, Gujarat, India",https://www.swiggy.com/restaurants/khodiyar-pan-and-colddrinks-varachha-surat-561496
Uncle Magic,4.0,20+ ratings,"North Indian, Snacks",₹ 150 for two person,"Plot no 73, ground floor, anand mangal co. opposite Housing society, bhatar surat",https://www.swiggy.com/restaurants/uncle-magic-athwa-surat-617518
Big Bite,4.0,50+ ratings,"Fast Food, Snacks",₹ 200 for two person,"Shop 134, Shreyas Diamond Center, Surat - Kamrej Highway, Matavadi, H N N S Society, Varachha, Surat, Gujarat, India",https://www.swiggy.com/restaurants/big-bite-shreyas-diamond-center-varachha-surat-189798
Great Indian Khichdi by EatFit,4.3,100+ ratings,"Indian, Home Food",₹ 200 for two person,"Halwawala Point, Avas No A/5, 1st Floor, Jivkor Nagar Co.Op.Hs, Type A, Bhatar Road No - 149, Surat, Gujarat",https://www.swiggy.com/restaurants/great-indian-khichdi-by-eatfit-halwawala-point-jivkor-nagar-co-op-hs-surat-620147
EatFit - All Things Healthy,4.2,100+ ratings,"Healthy Food, Pizzas",₹ 270 for two person,"Halwawala Point, Avas No A/5, 1st Floor, Jivkor Nagar Co.Op.Hs, Type A, Bhatar Road No - 149, Surat, Gujarat",https://www.swiggy.com/restaurants/eatfit-all-things-healthy-halwawala-point-jivkor-nagar-co-op-hs-surat-620149
Vrundavan Dairy (Bhatar),4.7,20+ ratings,"Desserts, Beverages",₹ 200 for two person,"SHOP NO U2, SAMBHAVNATH APPT OPP UMABHAVAN BHATAR ROAD SURAT 395001",https://www.swiggy.com/restaurants/vrundavan-dairy-bhatar-athwa-surat-534548
Sonal Bhel & Fast Food,3.9,1K+ ratings,"Burgers, Pizzas",₹ 100 for two person,"18-B, 41/2, paikee shop no. G 6-7, Saragam Co op soc., Hirabaug, Varachha, Surat-395006",https://www.swiggy.com/restaurants/sonal-bhel-and-fast-food-hirabaug-hirabaugh-surat-107488
Klassic Restaurant,4.3,1K+ ratings,"Closes soonChinese, North Indian",₹ 450 for two person,"Amizara Apartment, Near Surat Tennis Club, Athwa, Surat",https://www.swiggy.com/restaurants/klassic-restaurant-amizara-apartment-athwa-surat-85719
Home Plate by EatFit,4.0,100+ ratings,"Home Food, North Indian",₹ 160 for two person,"Halwawala Point, Avas No A/5, 1st Floor, Jivkor Nagar Co.Op.Hs, Type A, Bhatar Road No - 149, Surat, Gujarat",https://www.swiggy.com/restaurants/home-plate-by-eatfit-halwawala-point-jivkor-nagar-co-op-hs-surat-620148
The Dessert Heaven - Pure Veg,4.5,20+ ratings,"Bakery, Desserts",₹ 200 for two person,"A/5, 1st, FLOOR JIVKOR NAGAR, ABHATAR ROAD NO. -149, SURAT ,Surat, Surat, Gujarat, 395007",https://www.swiggy.com/restaurants/the-dessert-heaven-pure-veg-jivkor-nagar-athwa-surat-621732
Cheesecakes By CakeZone,4.3,20+ ratings,"Bakery, Desserts",₹ 200 for two person,"A/5, 1st, FLOOR JIVKOR NAGAR, ABHATAR ROAD NO. -149, SURAT ,Surat, Surat, Gujarat, 395007",https://www.swiggy.com/restaurants/cheesecakes-by-cakezone-jivkor-nagar-athwa-surat-621796
Tornittos Pizza,--,Too Few Ratings,"Pizzas, Fast Food",₹ 300 for two person,"SHOP NO G-1, GF THE PALACE OPP CAPITAL SQUARE , PARVATGAM SURAT 395010",https://www.swiggy.com/restaurants/tornittos-pizza-athwa-parvat-patiya-surat-616456
Aahar Snacks Parlour,3.9,100+ ratings,"Fast Food, Snacks",₹ 300 for two person,"16/17,Sunrise Chambers, Mini Bazar Road, Varachha, Surat",https://www.swiggy.com/restaurants/aahar-snacks-parlour-mini-bazar-kodiyar-nagar-surat-136915
Cric's Cafe,3.4,20+ ratings,"Fast Food, Snacks",₹ 300 for two person,"Shop no. 104/105/106/107 Aabhushan Complex, Sumul Dairy Road, Near Alkapuri circle, Opposite Flyover Bridge, Opposite Veer Savarkar Garden Kataragm, Surat.",https://www.swiggy.com/restaurants/crics-cafe-katargam-surat-507547
Kwality Walls Frozen Dessert and Ice Cream Shop,--,Too Few Ratings,"Desserts, Ice Cream",₹ 200 for two person,"RADHEY ICE CREAM AGENCY-SHOP NO- 6,7,7A,9,10,DR.MANSHUKHLA L TOWER,OPP DHIRAJ SONS,ATHWALINES,SURAT GUJARAT 395007 (HUL- I170063P977)",https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-radhey-ice-cream-agency-athwa-surat-649893
